feature,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_fold_5,mean_importance,std_importance
neighborhood_price_index,2531,2507,2514,2560,2509,2524.2,22.129166274399044
accommodates,1054,1059,985,1040,1039,1035.4,29.483893908369698
beds,608,612,598,546,577,588.2,27.206616842231597
bedrooms,668,686,759,697,635,689.0,45.63441683641854
borough_Brooklyn,228,191,200,193,172,196.8,20.29039181484675
borough_Manhattan,195,203,217,187,209,202.2,11.713240371477058
borough_Queens,178,199,182,187,197,188.6,9.181503144910424
borough_Bronx,100,67,107,86,86,89.2,15.385057685949702
borough_Staten Island,72,83,76,85,73,77.8,5.890670590009256
calculated_host_listings_count_entire_homes,1159,1146,1193,1221,1157,1175.2,31.067668081141846
calculated_host_listings_count_private_rooms,973,1025,1032,983,976,997.8,28.36723462024453
minimum_nights,850,891,873,898,904,883.2,21.902054698132773
premium_amenities_count,681,656,634,693,666,666.0,22.792542640082964
instant_bookable,263,248,238,245,256,250.0,9.72111104761179
host_listings_count,1368,1441,1339,1420,1420,1397.6,42.4181564898806
availability_rate_30,1644,1546,1504,1616,1574,1576.8,55.47251571724506
avg_review_score,2351,2456,2458,2402,2475,2428.4,51.22792207380659
listing_age_days,3077,2984,3091,2941,3075,3033.6,66.94624709421731
