feature,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_fold_5,mean_importance,std_importance
neighborhood_price_index,0.13327156314604952,0.13712258693355242,0.13579093599190192,0.13702484546991983,0.13222899271628352,0.13508778485154144,0.0022281381596823985
accommodates,0.10365424399492067,0.10596980419873007,0.10212353128422678,0.10135632120594507,0.10633925343167955,0.10388863082310043,0.0022315879634019855
beds,0.03908909165919516,0.042477626584818635,0.03911344307563372,0.04125634070590506,0.040801032141085665,0.04054750683332765,0.0014556438847597337
bedrooms,0.04930243584531847,0.0512102680542209,0.05114264991306332,0.047072571963049155,0.04939140990499271,0.049623867136128916,0.0016948326241575699
borough_Brooklyn,0.007670248869039952,0.007031866428241762,0.00762584826925478,0.007527391695843084,0.00718568404229942,0.007408207860935799,0.000283455176168745
borough_Manhattan,0.02544673425782122,0.023570040133793463,0.022795878122527813,0.023704590042768113,0.024810362972576883,0.0240655211058975,0.001054787313712371
borough_Queens,0.006235761378959874,0.006364360574720713,0.006088526416377297,0.006712261730230056,0.00635685239103991,0.006351552498265571,0.00023070196616732167
borough_Bronx,0.0024908147146016513,0.002422745029374939,0.0021424639276792935,0.0020346673087218636,0.002195273566787842,0.0022571929094331177,0.0001926791630452242
borough_Staten Island,0.0008725029146217443,0.0008444957673938055,0.0008172300011369504,0.0008756444223885397,0.000791774279979146,0.0008403294771040371,3.602369489212236e-05
calculated_host_listings_count_entire_homes,0.10498507812353625,0.10163213440845961,0.1052595273923863,0.10718171870087238,0.1046753787775944,0.1047467674805698,0.001997169099986606
calculated_host_listings_count_private_rooms,0.13689159922031474,0.13476090708266827,0.1365148446745782,0.13424731843826282,0.1370462127661072,0.13589217643638624,0.0012945742225589421
minimum_nights,0.08107370862122697,0.08132498588375796,0.08028129866511885,0.08148967340772226,0.08031585084043687,0.08089710348365257,0.0005662336195476571
premium_amenities_count,0.028331686655366197,0.03009312241848636,0.02893958527994373,0.029249914796771272,0.028886094543882544,0.029100080738890022,0.0006462507976604855
instant_bookable,0.01502512433588904,0.015304290212488027,0.015824653168351636,0.01613164737002023,0.01765272950301128,0.01598768891795204,0.0010263076057810423
host_listings_count,0.1290846076185149,0.12077736645862985,0.12842450622153825,0.12534424543687187,0.12257777604726745,0.12524170035656448,0.003603313571196301
availability_rate_30,0.04487788826380719,0.045166005265735804,0.04505557029755878,0.04671390903346926,0.047059605269253194,0.045774595625964844,0.0010277430617209866
avg_review_score,0.033378828280900025,0.034215535416981295,0.033794146190451964,0.03361522663535014,0.033142087683880585,0.0336291648415128,0.00040962059333320405
listing_age_days,0.05831808209991649,0.05971185914794623,0.05826536110827048,0.05846171163588906,0.058543629121841884,0.05866012862277283,0.0005983134099882741
