feature,importance_fold_1,importance_fold_2,importance_fold_3,importance_fold_4,importance_fold_5,mean_importance,std_importance
neighborhood_price_index,0.065776564,0.065742955,0.0678277,0.06950896,0.06646068,0.06706338,0.0016068392
accommodates,0.108825415,0.11552737,0.11199287,0.11104329,0.11012895,0.11150358,0.0025349723
beds,0.05145184,0.04859819,0.046453018,0.052607298,0.050198752,0.04986182,0.0024184722
bedrooms,0.059282053,0.06045702,0.058146928,0.05496333,0.06030531,0.058630925,0.0022498695
borough_Brooklyn,0.03268651,0.029629478,0.03239201,0.030382348,0.030757297,0.031169528,0.0013188096
borough_Manhattan,0.06507705,0.059948463,0.05831826,0.057802554,0.05432165,0.059093595,0.003923389
borough_Queens,0.030922724,0.033073846,0.029678509,0.036045324,0.030881576,0.032120395,0.0025122715
borough_Bronx,0.030637046,0.031280726,0.024273679,0.025782049,0.025750654,0.027544832,0.003183772
borough_Staten Island,0.018314872,0.021233685,0.026900133,0.020992387,0.022464538,0.021981122,0.00313879
calculated_host_listings_count_entire_homes,0.081057414,0.07979821,0.07994329,0.0814144,0.080075786,0.08045782,0.0007280695
calculated_host_listings_count_private_rooms,0.134671,0.13272983,0.13444117,0.13016795,0.14297655,0.1349973,0.0048101014
minimum_nights,0.09104873,0.08995129,0.090170085,0.09076902,0.09102486,0.0905928,0.0005039409
premium_amenities_count,0.0350739,0.034494735,0.038192444,0.037204284,0.033871703,0.035767414,0.0018466022
instant_bookable,0.032417815,0.032395266,0.035862703,0.03275211,0.032945648,0.033274706,0.0014651611
host_listings_count,0.07485813,0.074675776,0.075013325,0.07853287,0.07672726,0.07596147,0.001655889
availability_rate_30,0.033135984,0.034163255,0.033958193,0.033672687,0.03423554,0.03383313,0.00044674161
avg_review_score,0.02514244,0.025960939,0.02574027,0.025891103,0.025487214,0.025644392,0.0003342607
listing_age_days,0.02962053,0.030338908,0.03069534,0.0304681,0.03138592,0.030501759,0.0006370702
